2635.json	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	Texas	republican	0	1	0	0	0	a mailer
1123.json	false	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	blog-posting			none	7	19	3	5	44	a news release
12465.json	true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0	3	2	5	1	a an online opinion-piece
5947.json	false	When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.	history,state-budget	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	an interview with CBN News
620.json	true	"McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' "	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	a radio ad
10173.json	false	Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.	economy,income	dennis-richardson	state representative	Oregon	republican	0	4	1	2	0	a campaign debate
10215.json	false	I dont know who (Jonathan Gruber) is.	health-care	nancy-pelosi	House Minority Leader	California	democrat	3	7	11	2	3	a news conference
11092.json	false	ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.	technology,terrorism	pamela-geller	President of American Freedom Defense Intitiative	New York	activist	0	1	1	0	0	a tweet 
13237.json	true	Says Paul Ryan is still endorsing Trump.	candidates-biography,elections,campaign-advertising	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a tweet
9727.json	false	What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.	climate-change,energy,environment,government-regulation	shelley-moore-capito	U.S. House of Representative	West Virginia	republican	1	1	0	0	0	a campaign ad
7550.json	true	We have a federal government that thinks they have the authority to regulate our toilet seats.	consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers	ted-cruz	Senator	Texas	republican	36	33	15	19	8	a speech at CPAC
9018.json	true	Austin is a city that has basically doubled in size every 25 years or so since it was founded.	city-government,population	lee-leffingwell	Austin mayor	Texas	democrat	1	0	4	1	0	his "State of the City" address
