324.json	mostly-true	Hillary Clinton agrees with John McCain "by voting to give George Bush the benefit of the doubt on Iran."	foreign-policy	barack-obama	President	Illinois	democrat	70	71	160	163	9	Denver
12465.json	true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0	3	2	5	1	a an online opinion-piece
9741.json	mostly-true	Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.	energy,message-machine-2014,voting-record	duey-stroebel	State representative	Wisconsin	republican	0	0	0	1	0	an online video
7115.json	mostly-true	For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.	elections	robert-menendez	U.S. Senator	New Jersey	democrat	1	3	1	3	0	a speech
8616.json	mostly-true	The economy bled $24 billion due to the government shutdown.	economy,federal-budget,health-care	doonesbury			none	0	0	2	4	0	a Doonesbury strip in the Sunday comics
620.json	true	"McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' "	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	a radio ad
12385.json	mostly-true	Almost 100,000 people left Puerto Rico last year.	bankruptcy,economy,population	jack-lew	Treasury secretary 	Washington, D.C. 	democrat	0	1	0	1	0	an interview with Bloomberg News
9867.json	mostly-true	The United States has the highest corporate tax rate in the free world.	corporations,taxes	eric-bolling	Co-host on Fox News Channel's "The Five"		none	2	1	1	1	0	a discussion on Fox News' "The Five"
12408.json	mostly-true	We just had the best year for the auto industry in America in history.	economy	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	remarks at a Kentucky rally
12517.json	mostly-true	Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.	crime,diversity,homeland-security,terrorism	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a speech after a terrorist attack in Orlando
12163.json	mostly-true	Youth unemployment in minority communities is about 40 to 45 percent.	diversity,economy,jobs	peter-kinder	Lieutenant governor	Missouri	republican	0	0	0	1	1	a gubernatorial debate
13237.json	true	Says Paul Ryan is still endorsing Trump.	candidates-biography,elections,campaign-advertising	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a tweet
8239.json	mostly-true	We cut business taxes so today 70 percent of our businesses dont pay a business tax.	small-business,taxes	rick-scott	Governor	Florida	republican	28	23	38	34	7	a speech at an Americans for Prosperity Foundation conference
10121.json	mostly-true	Says Mark Pryor votes with Obama 93 percent of the time.	bipartisanship,voting-record	tom-cotton	U.S. House of Representatives	Arkansas	republican	3	4	2	3	1	a debate
7550.json	true	We have a federal government that thinks they have the authority to regulate our toilet seats.	consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers	ted-cruz	Senator	Texas	republican	36	33	15	19	8	a speech at CPAC
9018.json	true	Austin is a city that has basically doubled in size every 25 years or so since it was founded.	city-government,population	lee-leffingwell	Austin mayor	Texas	democrat	1	0	4	1	0	his "State of the City" address
1038.json	true	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.	military	north-korea			none	0	0	0	0	0	a released statement
8492.json	true	Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.	debt	kelly-ayotte	U.S. Senator	New Hampshire	republican	2	1	1	4	0	a town hall meeting in Hudson, N.H.
13503.json	true	Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.	patriotism	blog-posting			none	7	19	3	5	44	Townhall.com 
12758.json	true	We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history	jobs	andrew-cuomo	Governor	New York	democrat	1	0	0	1	0	a conversation with reporters in Victor, NY.
7548.json	mostly-true	In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.	elections,population	battleground-texas		Texas	democrat	0	0	0	1	0	an adviser's interview on the "Colbert Report."
321.json	mostly-true	Said he's the only Republican candidate "who's actually turned around a government economy."	job-accomplishments	rudy-giuliani	Attorney	New York	republican	9	11	10	7	3	a debate in Boca Raton, Fla.
1779.json	true	On military recruiters at Harvard, Elena Kagan "took a position and the Supreme Court ruled unanimously that she was wrong."	education,gays-and-lesbians,kagan-nomination,military,supreme-court	john-barrasso	Senator	Wyoming	republican	1	0	0	0	0	an interview on Fox News
1833.json	mostly-true	There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.	education,message-machine,taxes	empower-texans		Texas	none	1	0	0	1	0	a Web video
6612.json	true	At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.	candidates-biography,job-accomplishments	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	remarks at the Republican National Convention in Tampa
3786.json	true	If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.	jobs	terry-mcauliffe	Governor	Virginia	democrat	12	6	2	2	3	a speech.
1738.json	mostly-true	The new Arizona immigration law "says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."	immigration,legal-issues	alfredo-gutierrez	Former state Senator	Arizona	democrat	0	0	0	1	0	an interview on MSNBC's Hardball
7425.json	mostly-true	The only time in our history when the debt has been higher than this was the end of World War II.	debt	david-cote	President and CEO of Honeywell International		none	0	0	0	1	0	a speech during a “Fix the Debt” press event
10039.json	mostly-true	The cost of health care is now the single-biggest factor driving down the federal budget deficit.	deficit,federal-budget,health-care	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech at Northwestern University
2166.json	true	During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.	economy,abc-news-week	george-will	Columnist	Maryland	columnist	7	6	3	5	1	a roundtable discussion on ABC's "This Week"
10053.json	true	Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.	health-care,legal-issues,women	jeanne-shaheen	Senator	New Hampshire	democrat	3	0	4	2	0	a news release
9989.json	true	Says U.S. Rep. Steve Southerland voted to keep the shutdown going.	federal-budget	gwen-graham		Florida	democrat	0	0	1	0	0	a campaign commercial
11657.json	mostly-true	There is a federal criminal law that says its a crime to transport dentures across state lines.	public-health	bob-goodlatte	U.S. Congressman	Virginia	republican	0	1	4	3	0	a radio interview.
11131.json	mostly-true	We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.	crime,criminal-justice	cory-booker	U.S. senator	New Jersey	democrat	0	4	2	8	0	a post on Instagram
10386.json	true	I belong to the AFL-CIO.	candidates-biography,labor	rick-perry	Governor	Texas	republican	30	30	42	23	18	Texas Public Policy Foundation policy orientation
2020.json	mostly-true	The insurance commissioner cant do squat about health care.	health-care	ralph-hudgens		Georgia	republican	0	0	0	1	0	a radio interview broadcast over the Internet
9213.json	true	Did you know US population growth is at its lowest since the Great Depression?	immigration,population	robert-sarvis	lawyer, businessman	Virginia	libertarian	0	0	0	1	0	a tweet.
7599.json	mostly-true	The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.	education	will-weatherford	State Representative	Florida	republican	2	3	4	3	0	a Board of Governors meeting
7258.json	true	Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.	guns	mark-shields	Columnist and commentator	Washington, D.C.	none	1	0	0	0	0	the PBS NewsHour
7128.json	mostly-true	A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.	housing	national-association-realtors			none	0	0	0	1	0	a web post
10072.json	mostly-true	Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.	income,message-machine-2014,poverty	alison-lundergan-grimes	Secretary of State	Kentucky	democrat	2	2	3	1	0	a debate
10624.json	mostly-true	Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.	foreign-policy,history,terrorism	mitch-mcconnell	Senate minority leader	Kentucky	republican	7	6	5	7	0	an interview on CNN's "State of the Union"
338.json	true	"Sen. Obama has always had a 100 percent prochoice rating."	abortion	barack-obama	President	Illinois	democrat	70	71	160	163	9	an e-mail message sent to voters before Super Tuesday.
2820.json	true	The (federal) debt is growing by more than $4 billion a day.	deficit,economy,federal-budget	rick-perry	Governor	Texas	republican	30	30	42	23	18	in "Fed Up! Our Fight to Save America from Washington"
7467.json	mostly-true	Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.	government-regulation,jobs,poverty,welfare	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	a speech
10423.json	true	The economy is creating jobs at the fastest pace since 1999.	economy,jobs	barack-obama	President	Illinois	democrat	70	71	160	163	9	the State of the Union address
6767.json	mostly-true	President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.	foreign-policy,israel,message-machine-2012	adam-hasner		Florida	republican	2	1	4	4	0	a press release from the Mitt Romney campaign
11043.json	mostly-true	In a majority of states, you can now marry freely, but can still be fired for who you love.	civil-rights,gays-and-lesbians,states	mark-pocan	State Assembly member, 78th District	Wisconsin	democrat	1	2	2	3	0	a statement
12593.json	mostly-true	After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.	economy,retirement	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	remarks in Cincinnati, Ohio
8164.json	mostly-true	Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.	medicaid	kathleen-sebelius	U.S. Health and Human Services Secretary	Kansas	democrat	1	0	1	3	1	a speech
6520.json	true	Says 88 Texas constables have died in the line of duty.	crime,criminal-justice,history,public-safety,public-service	bruce-elfant	Constable, Travis County, Precinct 5	Texas	democrat	0	0	0	1	0	a press statement.
9500.json	mostly-true	Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.	education	republican-party-florida			republican	10	6	6	6	4	a TV ad
4629.json	mostly-true	The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.	jobs,labor,unions	dave-yost	Ohio auditor	ohio	republican	1	0	0	1	0	a newspaper column
1593.json	true	"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."	job-accomplishments	alex-sink		Florida	democrat	1	2	2	4	0	a fundraising e-mail to supporters
