12465.json	true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0	3	2	5	1	a an online opinion-piece
2342.json	barely-true	Jim Dunnam has not lived in the district he represents for years now.	candidates-biography	republican-party-texas		Texas	republican	3	1	1	3	1	a press release.
8705.json	barely-true	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	health-care	george-will	Columnist	Maryland	columnist	7	6	3	5	1	comments on "Fox News Sunday"
620.json	true	"McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' "	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	a radio ad
3863.json	barely-true	U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out	federal-budget	national-republican-congressional-committee			republican	18	9	8	5	8	a news release
7057.json	barely-true	Says Mitt Romney wants to get rid of Planned Parenthood.	abortion,federal-budget,health-care	planned-parenthood-action-fund	Advocacy group	Washington, D.C.	none	1	0	0	0	0	a radio ad
13237.json	true	Says Paul Ryan is still endorsing Trump.	candidates-biography,elections,campaign-advertising	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a tweet
5383.json	barely-true	If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.	economy,labor,states,unions,workers	nicholas-kettle	State senator	Rhode Island	republican	1	0	0	0	0	a radio talk show
7550.json	true	We have a federal government that thinks they have the authority to regulate our toilet seats.	consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers	ted-cruz	Senator	Texas	republican	36	33	15	19	8	a speech at CPAC
9018.json	true	Austin is a city that has basically doubled in size every 25 years or so since it was founded.	city-government,population	lee-leffingwell	Austin mayor	Texas	democrat	1	0	4	1	0	his "State of the City" address
1038.json	true	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.	military	north-korea			none	0	0	0	0	0	a released statement
8492.json	true	Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.	debt	kelly-ayotte	U.S. Senator	New Hampshire	republican	2	1	1	4	0	a town hall meeting in Hudson, N.H.
13503.json	true	Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.	patriotism	blog-posting			none	7	19	3	5	44	Townhall.com 
4930.json	barely-true	Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country	health-care,states	rick-perry	Governor	Texas	republican	30	30	42	23	18	a Republican presidential debate in Iowa
13210.json	barely-true	Maggie Hassan raised tuition, making it the highest in America.	education	national-republican-senatorial-committee			republican	11	5	7	2	5	an ad
12758.json	true	We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history	jobs	andrew-cuomo	Governor	New York	democrat	1	0	0	1	0	a conversation with reporters in Victor, NY.
10693.json	barely-true	We have towns in West Texas that are out of water, that are having to truck in water.	water	sid-miller	State agriculture commissioner	Texas	republican	1	2	2	0	1	a symposium on water hosted by the Texas Tribune
12981.json	barely-true	They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.	immigration	donald-trump	President-Elect	New York	republican	63	114	51	37	61	an interview on Fox News
1779.json	true	On military recruiters at Harvard, Elena Kagan "took a position and the Supreme Court ruled unanimously that she was wrong."	education,gays-and-lesbians,kagan-nomination,military,supreme-court	john-barrasso	Senator	Wyoming	republican	1	0	0	0	0	an interview on Fox News
6612.json	true	At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.	candidates-biography,job-accomplishments	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	remarks at the Republican National Convention in Tampa
6161.json	barely-true	U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.	criminal-justice,terrorism	michael-opitz		Georgia	republican	1	0	0	0	0	a YouTube ad
2526.json	barely-true	Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.	economy,financial-regulation,message-machine	rick-scott	Governor	Florida	republican	28	23	38	34	7	a TV ad.
3786.json	true	If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.	jobs	terry-mcauliffe	Governor	Virginia	democrat	12	6	2	2	3	a speech.
6697.json	barely-true	Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.	housing,message-machine-2012	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a campaign ad
2166.json	true	During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.	economy,abc-news-week	george-will	Columnist	Maryland	columnist	7	6	3	5	1	a roundtable discussion on ABC's "This Week"
3005.json	barely-true	Says one out of three U.S. homeless men is a veteran.	poverty,veterans	texas-veterans-commission			none	1	0	0	0	0	a newspaper article.
